label,person_id,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40
0,99,2.2879037857055664,2.3437819480895996,2.3959038257598877,2.3002707958221436,2.3585801124572754,2.0753896236419678,2.116806745529175,1.8344966173171997,2.092573642730713,2.4142086505889893,2.5490920543670654,2.485865592956543,2.665667772293091,2.5002152919769287,2.2963428497314453,2.2427728176116943,2.1536076068878174,2.3059802055358887,2.498535394668579,2.5987236499786377,2.635471820831299,2.7303659915924072,2.7466881275177,2.365917921066284,2.390409469604492,2.3290016651153564,2.390302896499634,2.6872756481170654,2.8543338775634766,2.7925233840942383,3.1214938163757324,2.9570181369781494,2.641108989715576,2.5866129398345947,2.6898233890533447,2.6018476486206055,1.4578850269317627,1.430487871170044,1.5208492279052734,-0.5547526478767395,-0.8336437940597534
0,99,2.3253085613250732,2.3862764835357666,2.4405064582824707,2.3507606983184814,2.4039969444274902,2.1157150268554688,2.1546294689178467,1.869890809059143,2.1535487174987793,2.44927978515625,2.5846545696258545,2.524219036102295,2.7000975608825684,2.5312917232513428,2.3305153846740723,2.275275707244873,2.1700878143310547,2.334677219390869,2.539203643798828,2.642740249633789,2.681633234024048,2.778803825378418,2.789202928543091,2.4082584381103516,2.4298219680786133,2.3616602420806885,2.446472406387329,2.729069709777832,2.8958232402801514,2.836326837539673,3.1596202850341797,2.9896609783172607,2.6808509826660156,2.623842477798462,2.7078213691711426,2.6364102363586426,1.4352068901062012,1.4771003723144531,1.5448193550109863,-0.579657793045044,-0.846977710723877
0,99,2.3685007095336914,2.4278876781463623,2.4884531497955322,2.381352663040161,2.4630050659179688,2.1478583812713623,2.1907777786254883,1.9424679279327393,2.175265312194824,2.536163568496704,2.659022331237793,2.6009035110473633,2.686183214187622,2.5427799224853516,2.3761179447174072,2.3239428997039795,2.1297693252563477,2.37241530418396,2.577958345413208,2.6827754974365234,2.7285420894622803,2.824402332305908,2.866570472717285,2.443211793899536,2.4703962802886963,2.45843243598938,2.477792739868164,2.784677028656006,2.944507360458374,2.887523651123047,3.1482596397399902,3.007327079772949,2.704498291015625,2.6516873836517334,2.690261125564575,2.6935997009277344,1.4947068691253662,1.4559152126312256,1.5560588836669922,-0.5584160685539246,-0.8025791645050049
0,99,2.395381450653076,2.451362133026123,2.5083723068237305,2.405689239501953,2.4725184440612793,2.1669273376464844,2.2084763050079346,1.9654842615127563,2.1992228031158447,2.503376007080078,2.6496896743774414,2.587855339050293,2.8212695121765137,2.6559295654296875,2.3934898376464844,2.335578680038452,2.361189365386963,2.39747953414917,2.6300323009490967,2.7356743812561035,2.7758371829986572,2.8850996494293213,2.907233715057373,2.491011381149292,2.5141758918762207,2.510997772216797,2.5344064235687256,2.819668769836426,3.0010244846343994,2.9387662410736084,3.3360707759857178,3.1694931983947754,2.7914793491363525,2.73167085647583,2.9609272480010986,2.7029690742492676,1.5139836072921753,1.4400444030761719,1.5331860780715942,-0.5527375340461731,-0.8531227111816406
0,99,2.413555860519409,2.4600472450256348,2.5219221115112305,2.3751659393310547,2.4550094604492188,2.1740529537200928,2.2197372913360596,1.9031214714050293,2.199585199356079,2.5077743530273438,2.638662099838257,2.5834274291992188,2.7439515590667725,2.588592529296875,2.371279239654541,2.318572521209717,2.226027011871338,2.385058641433716,2.6288537979125977,2.7252049446105957,2.7700819969177246,2.8345351219177246,2.866981267929077,2.4751205444335938,2.5020389556884766,2.4263408184051514,2.5322072505950928,2.7841570377349854,2.9525532722473145,2.8959505558013916,3.226594924926758,3.0674149990081787,2.7280702590942383,2.6721854209899902,2.7963175773620605,2.690129518508911,1.4773885011672974,1.4521875381469727,1.5699723958969116,-0.5272549390792847,-0.8190791010856628
0,99,2.3355374336242676,2.38205885887146,2.4512953758239746,2.330218553543091,2.409797191619873,2.102799415588379,2.153837203979492,1.9173691272735596,2.1256606578826904,2.452481746673584,2.602282762527466,2.545863151550293,2.822138547897339,2.645123243331909,2.3624746799468994,2.3051342964172363,2.397320032119751,2.3429276943206787,2.549703359603882,2.647970676422119,2.698854923248291,2.8004050254821777,2.8267388343811035,2.4103713035583496,2.439962148666382,2.4513537883758545,2.4462428092956543,2.7657992839813232,2.9502625465393066,2.8913071155548096,3.3312411308288574,3.1471357345581055,2.759073495864868,2.697249174118042,2.9876506328582764,2.6228630542755127,1.580500841140747,1.4042891263961792,1.6480700969696045,-0.522506594657898,-0.8088331818580627
0,99,2.277027130126953,2.322284460067749,2.3970940113067627,2.2928149700164795,2.3682587146759033,2.0527591705322266,2.1048505306243896,1.9008450508117676,2.094855308532715,2.4134228229522705,2.5643014907836914,2.5141918659210205,2.823744058609009,2.643289089202881,2.3417985439300537,2.2844362258911133,2.4318110942840576,2.2990128993988037,2.4981162548065186,2.5936076641082764,2.649831771850586,2.765606641769409,2.786395788192749,2.368169069290161,2.3978254795074463,2.4353291988372803,2.410141944885254,2.73828387260437,2.9205620288848877,2.8680388927459717,3.331284999847412,3.1431870460510254,2.7471280097961426,2.68524169921875,3.0147299766540527,2.5701522827148438,1.5584871768951416,1.3789654970169067,1.6091418266296387,-0.552901029586792,-0.8265140652656555
0,99,2.3591089248657227,2.4160640239715576,2.487149715423584,2.416246175765991,2.4807627201080322,2.1404571533203125,2.1885311603546143,2.0213403701782227,2.2081308364868164,2.467869281768799,2.6440000534057617,2.590860605239868,3.0207507610321045,2.827911853790283,2.4458234310150146,2.383087396621704,2.701368570327759,2.331958293914795,2.61079740524292,2.7174723148345947,2.769690990447998,2.9153811931610107,2.9263031482696533,2.4871273040771484,2.512566328048706,2.5813095569610596,2.5362093448638916,2.853182077407837,3.0554049015045166,3.0007357597351074,3.564821481704712,3.3663265705108643,2.9061572551727295,2.8401670455932617,3.3100783824920654,2.5950982570648193,1.6346715688705444,1.4428316354751587,1.6315429210662842,-0.5837669372558594,-0.8521323800086975
0,99,2.393826484680176,2.4728853702545166,2.5376205444335938,2.5387558937072754,2.6060140132904053,2.199941396713257,2.2444069385528564,2.1527161598205566,2.284100294113159,2.572293519973755,2.7588882446289062,2.702666759490967,3.134864330291748,2.967353105545044,2.5485928058624268,2.4901010990142822,2.7898685932159424,2.4255897998809814,2.689713716506958,2.813185214996338,2.860618829727173,3.052351236343384,3.0753653049468994,2.583184242248535,2.608266830444336,2.719320297241211,2.614532709121704,2.965878963470459,3.174940824508667,3.1195476055145264,3.673588752746582,3.504434585571289,3.011150360107422,2.9517199993133545,3.3941402435302734,2.684741735458374,1.5774991512298584,1.5023590326309204,1.7152971029281616,-0.6568887829780579,-0.8526251316070557
0,99,2.38165020942688,2.461759328842163,2.522425651550293,2.544677257537842,2.5901570320129395,2.1916329860687256,2.2313072681427,2.1594889163970947,2.284205436706543,2.5870957374572754,2.7770845890045166,2.721205234527588,3.1979100704193115,3.00984525680542,2.5816824436187744,2.519148349761963,2.8702352046966553,2.429227113723755,2.6811885833740234,2.8067989349365234,2.84820818901062,3.0635533332824707,3.0595285892486572,2.5799241065979004,2.5976130962371826,2.727139711380005,2.6176326274871826,2.987240791320801,3.1987202167510986,3.142977476119995,3.7358524799346924,3.5435914993286133,3.0483005046844482,2.983757734298706,3.4683802127838135,2.6834816932678223,1.565311312675476,1.4971072673797607,1.7230623960494995,-0.6510046124458313,-0.8623846173286438
